platform,network,country,x,y,z,reward
Mac,wifi,US,1.7143,0.6,2.0,0.3347270263070583
Mac,wifi,US,3.4286,1.2,0.6667,0.14027785790165398
Mac,wifi,US,1.7143,3.0,0.6667,0.24360419060237348
Mac,wifi,US,0.5714,0.6,0.0,0.34182514321636165
Mac,wifi,US,1.1429,1.8,1.3333,0.2518465836796564
Mac,wifi,US,2.2857,3.0,0.6667,0.21041641500762417
Mac,wifi,US,4.0,2.4,0.0,0.21583081626820413
Mac,wifi,US,2.8571,2.4,1.3333,0.10588625799365084
Mac,wifi,US,4.0,3.0,1.3333,0.310080715589363
Mac,wifi,US,0.5714,1.8,0.0,0.2848170844835951
Mac,wifi,US,1.1429,0.0,0.0,0.3530161082506964
Mac,wifi,US,2.8571,1.2,1.3333,0.20995719914630834
Mac,wifi,US,2.2857,1.8,2.0,0.25865704292665365
Mac,wifi,US,2.8571,2.4,0.6667,0.06484565633633298
Mac,wifi,US,0.5714,1.2,0.0,0.3297043179119732
Mac,wifi,US,1.1429,0.0,0.6667,0.2372805208114134
Mac,wifi,US,3.4286,3.0,2.0,0.2430230289017105
Mac,wifi,US,2.8571,2.4,1.3333,0.12368741027173122
Mac,wifi,US,4.0,3.0,0.0,0.3453142458232172
Mac,wifi,US,2.8571,2.4,0.6667,0.06064640484160662
Mac,wifi,US,3.4286,2.4,1.3333,0.08796163034905469
Mac,wifi,US,0.0,0.6,2.0,0.33850223387207895
Mac,wifi,US,1.7143,1.8,1.3333,0.2474451268780086
Mac,wifi,US,2.8571,3.0,0.0,0.2536437810636885
Mac,wifi,US,0.5714,2.4,1.3333,0.16540111484797773
Mac,wifi,US,4.0,0.0,1.3333,0.3083851830168753
Mac,wifi,US,1.7143,0.6,0.0,0.34687320203349203
Mac,wifi,US,3.4286,1.8,0.6667,0.09448331528724453
Mac,wifi,US,2.2857,1.8,2.0,0.25099500981439593
Mac,wifi,US,4.0,0.6,0.6667,0.21762573258384182
Mac,wifi,US,2.8571,0.6,2.0,0.25991146479863625
Mac,wifi,US,1.1429,0.0,1.3333,0.3001831189537383
Mac,wifi,US,2.2857,2.4,0.0,0.2070082165256522
Mac,wifi,US,1.1429,0.6,0.6667,0.2442697168584494
Mac,wifi,US,0.5714,3.0,0.0,0.37761518681299966
Mac,wifi,US,2.8571,0.6,0.6667,0.1795696948880238
Mac,wifi,US,3.4286,1.8,1.3333,0.14474490236174786
Mac,wifi,US,1.7143,1.2,1.3333,0.28169575309323613
Mac,wifi,US,1.7143,1.8,0.0,0.2972197850954996
Mac,wifi,US,2.2857,1.2,0.6667,0.210442213620409
Mac,wifi,US,1.1429,0.0,0.6667,0.22600071561698398
Mac,wifi,US,1.7143,3.0,2.0,0.32925930854243757
Mac,wifi,US,1.7143,3.0,0.6667,0.21848558167844764
Mac,wifi,US,4.0,1.8,1.3333,0.23720169567502805
Mac,wifi,US,1.1429,1.2,0.6667,0.21241921829581
Mac,wifi,US,1.1429,3.0,0.0,0.3620906736051404
Mac,wifi,US,1.7143,1.8,2.0,0.26424223269977654
Mac,wifi,US,0.0,0.6,1.3333,0.29922548354176265
Mac,wifi,US,2.8571,1.8,0.6667,0.1078530740070558
Mac,wifi,US,1.7143,1.2,1.3333,0.28336118970957097
Mac,wifi,US,2.8571,1.2,0.0,0.240463198391688
Mac,wifi,US,2.2857,1.2,1.3333,0.24468731166873875
Mac,wifi,US,2.2857,1.2,0.6667,0.2105420603748036
Mac,wifi,US,1.1429,2.4,1.3333,0.17727967983908582
Mac,wifi,US,2.2857,0.6,0.0,0.34495154963741953
Mac,wifi,US,1.1429,0.6,2.0,0.33191080792648614
Mac,wifi,US,1.7143,0.6,0.6667,0.2506494902554574
Mac,wifi,US,0.5714,1.2,0.6667,0.21661858116984062
Mac,wifi,US,2.8571,1.2,1.3333,0.22299347911803075
Mac,wifi,US,2.8571,1.2,0.6667,0.1783610297112249
Mac,wifi,US,4.0,0.6,2.0,0.33276471218365167
Mac,wifi,US,2.2857,1.2,1.3333,0.2767279348799977
Mac,wifi,US,2.8571,0.0,1.3333,0.22332793457497896
Mac,wifi,US,1.7143,1.2,0.6667,0.21144062997405885
Mac,wifi,US,1.7143,1.8,0.0,0.284184478296283
Mac,wifi,US,3.4286,2.4,0.6667,0.05480925304508068
Mac,wifi,US,1.1429,0.0,2.0,0.32759183118344676
Mac,wifi,US,1.7143,1.2,0.6667,0.23166817463606165
Mac,wifi,US,3.4286,0.6,0.0,0.25745325595371205
Mac,wifi,US,4.0,3.0,0.6667,0.23895887679290073
Mac,wifi,US,1.7143,0.6,1.3333,0.3047910813893189
Mac,wifi,US,2.2857,1.2,1.3333,0.25151881151911715
Mac,wifi,US,1.7143,1.2,1.3333,0.28064213559764184
Mac,wifi,US,1.1429,2.4,1.3333,0.1655327164638793
Mac,wifi,US,1.7143,0.6,0.6667,0.21739324749818845
Mac,wifi,US,0.0,1.8,1.3333,0.2470355419623612
Mac,wifi,US,2.2857,2.4,2.0,0.20233516440064003
Mac,wifi,US,2.2857,2.4,1.3333,0.15433423091595652
Mac,wifi,US,3.4286,1.8,0.6667,0.09594646041041383
Mac,wifi,US,1.1429,1.2,2.0,0.3199796243800336
Mac,wifi,US,1.1429,0.0,1.3333,0.2682153262147049
Mac,wifi,US,2.2857,3.0,0.6667,0.22770600980875116
Mac,wifi,US,2.2857,1.2,2.0,0.3023748226853659
Mac,wifi,US,1.7143,2.4,0.6667,0.13911699109786826
Mac,wifi,US,1.7143,0.0,2.0,0.32041838886938695
Mac,wifi,US,3.4286,2.4,0.6667,0.049255222984122014
Mac,wifi,US,2.8571,0.6,2.0,0.25439181342902917
Mac,wifi,US,0.0,3.0,0.6667,0.23147310220861303
Mac,wifi,US,2.8571,0.6,2.0,0.27025375449200423
Mac,wifi,US,0.5714,0.6,0.6667,0.22385215172807124
Mac,wifi,US,1.1429,1.8,0.6667,0.1781789170556683
Mac,wifi,US,4.0,3.0,2.0,0.32048914638504716
Mac,wifi,US,0.5714,1.2,2.0,0.3152150120137964
Mac,wifi,US,0.5714,3.0,1.3333,0.30034296616309364
Mac,wifi,US,0.5714,0.6,2.0,0.3416200780493717
Mac,wifi,US,0.5714,3.0,2.0,0.31891416046731846
Mac,wifi,US,0.0,1.8,1.3333,0.23088544169501457
Mac,wifi,US,0.0,3.0,1.3333,0.2967607970235759
Mac,wifi,US,0.0,1.2,2.0,0.32714550113011615
Mac,wifi,US,2.8571,1.2,2.0,0.2626450819670337
Mac,wifi,US,0.5714,2.4,0.0,0.22529786120638678
Mac,wifi,US,2.8571,1.2,0.0,0.28011020784096374
Mac,wifi,US,4.0,2.4,0.0,0.2170202147432872
Mac,wifi,US,0.0,0.0,0.0,0.3519383906653658
Mac,wifi,US,2.2857,1.8,0.6667,0.16680257837086354
Mac,wifi,US,3.4286,1.2,0.6667,0.15248903934862318
Mac,wifi,US,3.4286,2.4,1.3333,0.11843543948114563
Mac,wifi,US,1.7143,3.0,2.0,0.32388571566994123
Mac,wifi,US,0.0,2.4,0.0,0.22171928413272482
Mac,wifi,US,1.7143,0.6,0.0,0.3515389494383909
Mac,wifi,US,0.0,3.0,0.6667,0.225965443590892
Mac,wifi,US,2.8571,3.0,0.6667,0.16891977114722834
Mac,wifi,US,1.1429,1.2,2.0,0.3302911785709166
Mac,wifi,US,0.5714,3.0,0.6667,0.23587072949252735
Mac,wifi,US,2.8571,0.6,0.6667,0.18767566665324703
Mac,wifi,US,2.2857,1.8,0.0,0.2855842362308876
Mac,wifi,US,4.0,2.4,0.6667,0.13483563224504921
Mac,wifi,US,3.4286,1.8,0.6667,0.10657842782308638
Mac,wifi,US,0.0,3.0,0.6667,0.2233099290148872
Mac,wifi,US,4.0,0.0,1.3333,0.29027855552912996
Mac,wifi,US,2.2857,1.2,0.0,0.3267149632229773
Mac,wifi,US,0.5714,1.8,0.6667,0.17051057039231796
Mac,wifi,US,2.2857,1.2,1.3333,0.26807072625602857
Mac,wifi,US,1.1429,0.0,0.0,0.34522358879031545
Mac,wifi,US,2.8571,2.4,2.0,0.1589239124721896
Mac,wifi,US,3.4286,1.8,1.3333,0.1749837444351778
Mac,wifi,US,0.5714,1.8,2.0,0.2742892728196787
Mac,wifi,US,2.2857,0.0,2.0,0.3075198312309936
Mac,wifi,US,4.0,1.2,1.3333,0.288892000953045
Mac,wifi,US,1.7143,0.0,0.6667,0.23363804758602255
Mac,wifi,US,1.1429,0.6,1.3333,0.29696779123579564
Mac,wifi,US,0.0,2.4,2.0,0.204297965659379
Mac,wifi,US,0.5714,1.2,2.0,0.3279919845689794
Mac,wifi,US,3.4286,0.0,2.0,0.2221919075979229
Mac,wifi,US,4.0,0.0,0.0,0.36606608685905795
Mac,wifi,US,4.0,3.0,1.3333,0.28494531208514595
Mac,wifi,US,2.8571,0.6,0.0,0.27522251900376365
Mac,wifi,US,1.7143,0.6,2.0,0.33032474697036956
Mac,wifi,US,0.5714,1.2,1.3333,0.2852725670769919
Mac,wifi,US,2.8571,3.0,2.0,0.2597197329168329
Mac,wifi,US,2.8571,0.6,2.0,0.29238595965879216
Mac,wifi,US,0.5714,0.0,0.0,0.3544818974439015
Mac,wifi,US,1.7143,3.0,0.6667,0.2400236061208128
Mac,wifi,US,1.1429,0.0,0.0,0.3273957229882178
Mac,wifi,US,4.0,0.0,0.0,0.344979716493177
Mac,wifi,US,2.8571,1.8,2.0,0.20753838374764605
Mac,wifi,US,0.0,0.6,0.0,0.3503770873688994
Mac,wifi,US,0.5714,1.8,0.0,0.2826111221459543
Mac,wifi,US,1.7143,0.0,2.0,0.3323884931749266
Mac,wifi,US,1.1429,1.8,0.0,0.27832789080675563
Mac,wifi,US,2.2857,2.4,1.3333,0.16483599552318556
Mac,wifi,US,1.7143,0.0,2.0,0.32054241046339066
Mac,wifi,US,2.2857,1.2,0.0,0.33121903437600625
Mac,wifi,US,1.1429,0.0,1.3333,0.2920816412807492
Mac,wifi,US,1.1429,1.2,2.0,0.337523518569526
Mac,wifi,US,0.0,1.2,0.0,0.34468683852100257
Mac,wifi,US,4.0,0.6,2.0,0.33117456742359824
Mac,wifi,US,3.4286,1.2,0.0,0.21611919454314246
Mac,wifi,US,0.0,0.6,0.0,0.33674202262928005
Mac,wifi,US,1.1429,0.0,1.3333,0.28875973066181015
Mac,wifi,US,0.0,1.2,2.0,0.30567683598963924
Mac,wifi,US,0.5714,3.0,0.6667,0.23478164935446563
Mac,wifi,US,2.2857,2.4,1.3333,0.15232686132322715
Mac,wifi,US,2.8571,3.0,1.3333,0.20942142834213376
Mac,wifi,US,1.1429,2.4,0.0,0.23179008600618614
Mac,wifi,US,0.5714,1.2,0.0,0.35009596855085895
Mac,wifi,US,1.7143,3.0,1.3333,0.2981222574460691
Mac,wifi,US,2.8571,3.0,0.0,0.27901563396630036
Mac,wifi,US,2.2857,0.6,2.0,0.3097143081173049
Mac,wifi,US,1.7143,1.8,2.0,0.2732407924024563
Mac,wifi,US,1.7143,0.6,2.0,0.3342805683243602
Mac,wifi,US,0.0,3.0,0.0,0.34241899709502366
Mac,wifi,US,2.2857,0.6,1.3333,0.27492685883446333
Mac,wifi,US,0.5714,1.2,2.0,0.3338745172142543
Mac,wifi,US,2.2857,3.0,0.6667,0.2137899315451376
Mac,wifi,US,3.4286,0.0,0.6667,0.13988769752368954
Mac,wifi,US,2.2857,0.0,0.0,0.3378621203491587
Mac,wifi,US,1.7143,1.8,2.0,0.27685163056646794
Mac,wifi,US,0.0,3.0,1.3333,0.30540266503914104
Mac,wifi,US,3.4286,1.8,2.0,0.16725200417390276
Mac,wifi,US,1.7143,1.8,0.0,0.2964854597203034
Mac,wifi,US,3.4286,0.0,1.3333,0.19809449174079577
Mac,wifi,US,1.7143,1.8,0.6667,0.1660978455494077
Mac,wifi,US,0.5714,0.6,0.6667,0.21853025547294624
Mac,wifi,US,0.0,0.6,0.6667,0.23132806957116864
Mac,wifi,US,1.7143,0.0,1.3333,0.2971265838641485
Mac,wifi,US,2.2857,1.2,1.3333,0.2861462309483368
Mac,wifi,US,0.5714,0.6,0.6667,0.2217480346565896
Mac,wifi,US,1.7143,1.8,0.6667,0.17771744633068842
Mac,wifi,US,4.0,0.0,0.0,0.34704812223774817
Mac,wifi,US,2.2857,2.4,0.6667,0.11551128579954911
Mac,wifi,US,4.0,1.8,1.3333,0.2180804821648942
Mac,wifi,US,4.0,3.0,0.6667,0.22695354504372453
Mac,wifi,US,2.8571,2.4,2.0,0.1392057771166279
Mac,wifi,US,4.0,2.4,2.0,0.21003116020746
Mac,wifi,US,1.7143,2.4,2.0,0.21108412217704708
Mac,wifi,US,0.5714,1.8,0.0,0.29172533492327685
Mac,wifi,US,0.5714,1.2,1.3333,0.2715973718059802
Mac,wifi,US,3.4286,3.0,0.0,0.23717291644934335
Mac,wifi,US,2.2857,1.2,1.3333,0.26747709906476574
Mac,wifi,US,0.5714,0.0,1.3333,0.2894368297514903
Mac,wifi,US,2.2857,0.6,2.0,0.31590426310596226
Mac,wifi,US,1.7143,1.2,2.0,0.30821111324978007
Mac,wifi,US,1.1429,3.0,0.6667,0.21953388170652433
Mac,wifi,US,1.1429,3.0,1.3333,0.30599306668590015
Mac,wifi,US,3.4286,3.0,0.6667,0.1449067804444099
Mac,wifi,US,2.8571,1.8,0.0,0.23479660702846805
Mac,wifi,US,0.5714,2.4,2.0,0.2085798455735981
Mac,wifi,US,4.0,3.0,2.0,0.335815244128279
Mac,wifi,US,0.0,1.8,1.3333,0.21715309674846142
Mac,wifi,US,1.1429,2.4,0.0,0.2197681721618392
Mac,wifi,US,2.2857,2.4,0.0,0.2127563195579061
Mac,wifi,US,2.8571,3.0,1.3333,0.2258414438166249
Mac,wifi,US,3.4286,0.6,0.0,0.238420050110246
Mac,wifi,US,4.0,1.2,2.0,0.3009036864215606
Mac,wifi,US,3.4286,3.0,0.6667,0.14615959699724626
Mac,wifi,US,0.5714,2.4,0.0,0.22377492753260056
Mac,wifi,US,1.7143,3.0,2.0,0.3385682712855673
Mac,wifi,US,2.2857,0.0,0.6667,0.20760548690887698
Mac,wifi,US,0.0,1.8,2.0,0.2776692825253927
Mac,wifi,US,0.5714,0.0,0.0,0.3342571220879168
Mac,wifi,US,3.4286,0.6,0.0,0.24405316122859871
Mac,wifi,US,4.0,2.4,1.3333,0.17083267811436637
Mac,wifi,US,4.0,1.2,2.0,0.3331535395139045
Mac,wifi,US,3.4286,2.4,1.3333,0.08682220040176586
Mac,wifi,US,2.2857,0.6,0.0,0.34423041207449545
Mac,wifi,US,4.0,0.0,1.3333,0.3039443910232953
Mac,wifi,US,1.7143,1.2,1.3333,0.2761950936594284
Mac,wifi,US,4.0,3.0,0.6667,0.2169344237011985
Mac,wifi,US,0.5714,0.6,0.0,0.3389704154075144
Mac,wifi,US,2.8571,0.0,0.0,0.26939693327961023
Mac,wifi,US,4.0,0.0,0.6667,0.2296784904649424
Mac,wifi,US,3.4286,2.4,2.0,0.12132758466696138
Mac,wifi,US,0.0,1.8,0.0,0.2909415554805659
Mac,wifi,US,2.2857,1.8,2.0,0.2405336102831026
Mac,wifi,US,2.2857,0.6,0.6667,0.2070898882060495
Mac,wifi,US,0.5714,3.0,0.0,0.35833803344523607
Mac,wifi,US,1.1429,0.6,0.0,0.33898730854687453
Mac,wifi,US,4.0,1.2,0.6667,0.20174539698895902
Mac,wifi,US,3.4286,2.4,0.6667,0.04944068604795132
Mac,wifi,US,4.0,1.8,2.0,0.2832977790246253
Mac,wifi,US,1.7143,0.0,1.3333,0.30175744969886215
Mac,wifi,US,4.0,2.4,1.3333,0.17382096049442683
Mac,wifi,US,4.0,0.6,1.3333,0.29945684755589735
Mac,wifi,US,2.8571,0.6,1.3333,0.22411141675095053
Mac,wifi,US,0.5714,0.6,1.3333,0.284613726259752
Mac,wifi,US,1.1429,0.0,1.3333,0.29049404466155127
Mac,wifi,US,1.7143,1.8,2.0,0.25216910447558505
Mac,wifi,US,0.5714,3.0,0.0,0.353791640204081
Mac,wifi,US,0.5714,0.0,1.3333,0.2811315056108086
Mac,wifi,US,1.1429,0.6,1.3333,0.2980542931679151
Mac,wifi,US,0.5714,0.6,2.0,0.3380903973355359
Mac,wifi,US,0.0,1.2,0.6667,0.21538930782341142
Mac,wifi,US,2.2857,3.0,0.0,0.3425911234833617
Mac,wifi,US,0.0,3.0,0.6667,0.2339007883922973
Mac,wifi,US,2.2857,1.8,2.0,0.2769160804337337
Mac,wifi,US,2.8571,0.0,2.0,0.269365915339667
Mac,wifi,US,2.8571,3.0,2.0,0.271056984407994
Mac,wifi,US,4.0,1.8,2.0,0.2619553896779286
Mac,wifi,US,0.5714,0.0,0.0,0.3437506618354686
Mac,wifi,US,2.2857,1.2,0.6667,0.23056740883634655
Mac,wifi,US,2.8571,1.8,0.0,0.22255818203572392
Mac,wifi,US,1.1429,0.6,0.6667,0.22475742220641487
Mac,wifi,US,3.4286,2.4,0.0,0.14589711722151627
Mac,wifi,US,3.4286,2.4,1.3333,0.12321066728247362
Mac,wifi,US,2.8571,1.8,2.0,0.20429158122285473
Mac,wifi,US,2.8571,0.6,0.0,0.2840753111186466
Mac,wifi,US,0.0,2.4,1.3333,0.16102231261076408
Mac,wifi,US,1.7143,0.6,0.6667,0.22908390022469377
Mac,wifi,US,2.8571,0.6,2.0,0.24672402413676428
Mac,wifi,US,4.0,0.6,2.0,0.34550784410629365
Mac,wifi,US,3.4286,3.0,0.0,0.2574136659953629
Mac,wifi,US,0.5714,3.0,0.6667,0.22612679680026973
Mac,wifi,US,0.0,2.4,0.6667,0.13860476429120333
Mac,wifi,US,2.8571,1.8,0.6667,0.12047230121073724
Mac,wifi,US,3.4286,2.4,0.6667,0.046527675398358885
Mac,wifi,US,1.7143,2.4,1.3333,0.16395358641223032
Mac,wifi,US,2.8571,3.0,2.0,0.2551575820544642
Mac,wifi,US,2.2857,1.2,0.0,0.3223476821760807
Mac,wifi,US,2.8571,1.8,0.0,0.2198727070531722
Mac,wifi,US,2.2857,1.2,2.0,0.3079050838641005
Mac,wifi,US,2.2857,3.0,1.3333,0.27991679106890577
Mac,wifi,US,3.4286,0.6,1.3333,0.21043781146423374
Mac,wifi,US,2.8571,1.2,0.0,0.26362452945283465
Mac,wifi,US,3.4286,2.4,0.0,0.13018242438936822
Mac,wifi,US,3.4286,2.4,1.3333,0.11338276333064418
Mac,wifi,US,2.2857,1.2,1.3333,0.2729603083162689
Mac,wifi,US,2.2857,0.6,2.0,0.3010583806483066
Mac,wifi,US,1.7143,3.0,0.6667,0.22689414204841468
Mac,wifi,US,2.2857,0.0,0.6667,0.21486984054004934
Mac,wifi,US,1.7143,0.0,0.0,0.3426477171719953
Mac,wifi,US,0.0,0.0,2.0,0.32893466703024693
Mac,wifi,US,1.1429,2.4,0.6667,0.09608312595669083
Mac,wifi,US,2.2857,1.2,1.3333,0.2850973646261835
Mac,wifi,US,1.7143,0.0,0.6667,0.2472158203577122
Mac,wifi,US,1.7143,3.0,1.3333,0.3074696671456714
Mac,wifi,US,1.7143,0.6,0.0,0.3407350810902725
Mac,wifi,US,4.0,2.4,1.3333,0.17694861641956533
Mac,wifi,US,0.5714,2.4,1.3333,0.1654740649329305
Mac,wifi,US,0.0,1.2,2.0,0.33361049974957563
Mac,wifi,US,2.2857,1.8,0.0,0.27414772694103834
Mac,wifi,US,0.0,1.8,1.3333,0.2309730584569539
Mac,wifi,US,1.1429,1.2,0.0,0.3277828686119355
Mac,wifi,US,1.1429,1.2,2.0,0.3367789586343312
Mac,wifi,US,1.1429,3.0,0.6667,0.21708753583019488
Mac,wifi,US,3.4286,3.0,0.6667,0.14617238896543164
Mac,wifi,US,1.1429,1.8,1.3333,0.2104813751030872
Mac,wifi,US,1.1429,3.0,0.0,0.35273908804065623
Mac,wifi,US,3.4286,1.2,0.0,0.24916045531145561
Mac,wifi,US,1.1429,1.8,0.0,0.2763699660995851
