platform,network,country,x,y,z,reward
Mac,wifi,US,2.6667,0.0,2.0,0.34128983205488284
Mac,wifi,US,4.0,1.5,0.0,0.26425502808323864
Mac,wifi,US,1.3333,1.5,0.0,0.03576693956295564
Mac,wifi,US,4.0,3.0,2.0,0.35604352058732436
Mac,wifi,US,2.6667,1.5,2.0,0.2677384883627128
Mac,wifi,US,4.0,3.0,0.0,0.3178563920439305
Mac,wifi,US,4.0,0.0,0.0,0.32754463630014646
Mac,wifi,US,4.0,0.0,0.0,0.3077004557654641
Mac,wifi,US,0.0,3.0,0.0,0.31815834888869543
Mac,wifi,US,2.6667,0.0,2.0,0.31202514178113777
Mac,wifi,US,2.6667,1.5,2.0,0.2736565803629977
Mac,wifi,US,4.0,3.0,0.0,0.31036140953583136
Mac,wifi,US,1.3333,3.0,2.0,0.12267832396090836
Mac,wifi,US,0.0,1.5,2.0,0.2747607701243024
Mac,wifi,US,2.6667,3.0,2.0,0.32178341382629255
Mac,wifi,US,0.0,1.5,0.0,0.2462555174111995
Mac,wifi,US,4.0,0.0,2.0,0.3353028744854859
Mac,wifi,US,0.0,3.0,0.0,0.314632783786583
Mac,wifi,US,1.3333,1.5,2.0,0.07305256445481963
Mac,wifi,US,2.6667,1.5,2.0,0.2687471104780723
Mac,wifi,US,1.3333,0.0,2.0,0.13524592456034046
Mac,wifi,US,2.6667,1.5,2.0,0.2707820603817768
Mac,wifi,US,1.3333,3.0,0.0,0.11563741493613774
Mac,wifi,US,4.0,0.0,0.0,0.3186728735860105
Mac,wifi,US,0.0,3.0,2.0,0.3413106409223841
Mac,wifi,US,2.6667,1.5,2.0,0.26413194060738304
Mac,wifi,US,0.0,1.5,2.0,0.2725522535490136
Mac,wifi,US,4.0,3.0,2.0,0.3580886889400207
Mac,wifi,US,4.0,0.0,0.0,0.3229200258722728
Mac,wifi,US,1.3333,0.0,0.0,0.09261305634985983
Mac,wifi,US,0.0,1.5,2.0,0.2750510964064481
Mac,wifi,US,1.3333,3.0,2.0,0.12514432734226594
Mac,wifi,US,1.3333,3.0,2.0,0.11011808153545721
Mac,wifi,US,1.3333,1.5,0.0,0.057636181300380555
Mac,wifi,US,2.6667,0.0,0.0,0.28531408782511397
Mac,wifi,US,2.6667,1.5,2.0,0.26279683835154904
Mac,wifi,US,1.3333,1.5,0.0,0.03713433850019265
Mac,wifi,US,1.3333,0.0,0.0,0.1172529255797225
Mac,wifi,US,1.3333,0.0,2.0,0.11710955870062532
Mac,wifi,US,1.3333,3.0,0.0,0.09559720648817717
Mac,wifi,US,2.6667,0.0,0.0,0.3094690680545361
Mac,wifi,US,4.0,0.0,2.0,0.32831564314063194
Mac,wifi,US,4.0,3.0,2.0,0.346202411463981
Mac,wifi,US,0.0,3.0,2.0,0.3281327540547684
Mac,wifi,US,4.0,0.0,0.0,0.3103276863911699
Mac,wifi,US,1.3333,3.0,0.0,0.09744607378532757
Mac,wifi,US,0.0,3.0,0.0,0.3131166201844661
Mac,wifi,US,1.3333,0.0,0.0,0.10733001171846857
Mac,wifi,US,2.6667,1.5,0.0,0.23953206776616953
Mac,wifi,US,4.0,1.5,2.0,0.28466970711759165
Mac,wifi,US,2.6667,0.0,2.0,0.32540091095795964
Mac,wifi,US,1.3333,0.0,0.0,0.11877263973955342
Mac,wifi,US,2.6667,1.5,2.0,0.254418317194553
