platform,network,country,x,y,z,reward
Mac,wifi,US,4.0,1.2,0.6667,0.8541119795147415
Mac,wifi,US,2.8571,3.0,2.0,1.0096194082528716
Mac,wifi,US,2.2857,0.6,2.0,0.9799384659151282
Mac,wifi,US,2.8571,1.2,0.6667,0.8556033426714545
Mac,wifi,US,2.8571,1.2,1.3333,0.4255729311784803
Mac,wifi,US,0.5714,3.0,1.3333,0.44514505754273354
Mac,wifi,US,0.5714,2.4,0.0,0.4493293377143913
Mac,wifi,US,1.1429,1.8,0.0,0.4399204409593572
Mac,wifi,US,3.4286,2.4,0.0,0.5393737527969743
Mac,wifi,US,2.2857,2.4,0.6667,0.5045700033867563
Mac,wifi,US,1.7143,1.8,0.0,0.697278699719258
Mac,wifi,US,2.8571,2.4,0.6667,0.500435596840288
Mac,wifi,US,3.4286,0.0,0.0,1.0061877589407546
Mac,wifi,US,3.4286,1.8,0.0,0.7239424712115543
Mac,wifi,US,4.0,1.2,0.0,0.8981924479613153
Mac,wifi,US,4.0,2.4,2.0,0.538575745523893
Mac,wifi,US,3.4286,0.0,1.3333,0.4931701337778771
Mac,wifi,US,0.5714,3.0,1.3333,0.4416970448661701
Mac,wifi,US,4.0,0.0,1.3333,0.4661268162482912
Mac,wifi,US,0.5714,1.8,0.0,0.6372459242082906
Mac,wifi,US,0.0,0.0,1.3333,0.49301347865002815
Mac,wifi,US,0.5714,0.0,0.6667,0.8921736286104459
Mac,wifi,US,2.2857,3.0,2.0,1.0015753015837046
Mac,wifi,US,0.5714,1.2,2.0,0.808492205364701
Mac,wifi,US,0.5714,1.8,2.0,0.6264263983761837
Mac,wifi,US,2.8571,2.4,0.0,0.5359145732565038
Mac,wifi,US,4.0,0.0,0.0,0.9903330123055356
Mac,wifi,US,4.0,1.2,0.0,0.8925203662822933
Mac,wifi,US,0.5714,3.0,0.0,0.8939164046643481
Mac,wifi,US,2.2857,1.8,2.0,0.7282893237597257
Mac,wifi,US,0.5714,1.8,2.0,0.6350002781487186
Mac,wifi,US,3.4286,3.0,0.6667,0.9534943635592376
Mac,wifi,US,3.4286,0.6,0.6667,0.9241097826851529
Mac,wifi,US,2.8571,0.0,0.0,1.0194868984518703
Mac,wifi,US,0.5714,1.8,1.3333,0.2664668263332235
Mac,wifi,US,2.2857,1.2,2.0,0.9179008380734479
Mac,wifi,US,1.1429,0.6,0.6667,0.6229061538876612
Mac,wifi,US,2.2857,2.4,0.6667,0.5082378456283355
Mac,wifi,US,4.0,0.6,1.3333,0.4729941816540946
Mac,wifi,US,2.8571,1.8,1.3333,0.27434186088555523
Mac,wifi,US,3.4286,0.6,1.3333,0.48469301813219223
Mac,wifi,US,0.0,1.2,0.0,0.8961709636477853
Mac,wifi,US,1.7143,0.6,2.0,0.950385664526909
Mac,wifi,US,0.5714,0.6,1.3333,0.43441185589014014
Mac,wifi,US,0.0,1.8,0.6667,0.6667845307845908
Mac,wifi,US,4.0,1.2,0.0,0.8999263087390358
Mac,wifi,US,1.7143,2.4,2.0,0.5262790839155316
Mac,wifi,US,0.5714,1.8,1.3333,0.2332467654304797
Mac,wifi,US,1.7143,2.4,0.6667,0.4887384846472446
Mac,wifi,US,1.7143,0.0,0.0,0.9828647642462653
Mac,wifi,US,3.4286,2.4,1.3333,0.16043922829912233
Mac,wifi,US,0.5714,0.6,2.0,0.8742795645230323
Mac,wifi,US,2.8571,2.4,0.6667,0.5119481480040042
Mac,wifi,US,3.4286,2.4,0.6667,0.48520314264657916
Mac,wifi,US,0.0,3.0,0.6667,0.9586066541942615
Mac,wifi,US,1.1429,0.6,1.3333,0.2852888014150131
Mac,wifi,US,1.7143,1.2,2.0,0.9160134682786439
Mac,wifi,US,0.5714,2.4,0.0,0.4672679220071547
Mac,wifi,US,2.2857,1.2,2.0,0.8924563508612042
Mac,wifi,US,3.4286,2.4,1.3333,0.17116070264355546
