platform,network,country,x,y,z,reward
Mac,wifi,US,0.0,0.0,1.3333,0.42654353326307
Mac,wifi,US,3.4286,1.8,1.3333,0.5572422779014924
Mac,wifi,US,2.8571,2.4,0.6667,0.276305991345924
Mac,wifi,US,3.4286,1.8,0.0,0.7373503292217558
Mac,wifi,US,4.0,0.6,0.0,0.9713606267607401
Mac,wifi,US,1.7143,2.4,0.6667,0.2645830164951809
Mac,wifi,US,4.0,1.2,2.0,0.8478362008250466
Mac,wifi,US,0.5714,0.6,0.0,0.8920097468485384
Mac,wifi,US,2.2857,0.6,0.6667,0.44994905189384976
Mac,wifi,US,2.8571,3.0,0.6667,0.4769636093729134
Mac,wifi,US,2.8571,0.6,0.6667,0.44684719430438374
Mac,wifi,US,2.2857,0.0,0.6667,0.46475172718538943
Mac,wifi,US,2.8571,3.0,0.6667,0.47248195162147094
Mac,wifi,US,3.4286,0.0,1.3333,0.7289623919892101
Mac,wifi,US,0.0,1.8,1.3333,0.2775278255273985
Mac,wifi,US,1.7143,0.6,2.0,0.8600364707802678
Mac,wifi,US,1.7143,1.8,0.0,0.729273079844761
Mac,wifi,US,0.0,0.6,0.6667,0.18500142565020958
Mac,wifi,US,3.4286,3.0,0.0,1.003113308167592
Mac,wifi,US,2.2857,3.0,2.0,0.8960353501291383
Mac,wifi,US,1.1429,2.4,1.3333,0.4119118376591381
Mac,wifi,US,2.8571,0.0,0.0,0.9987830869748159
Mac,wifi,US,0.5714,0.0,2.0,0.8459139093479563
Mac,wifi,US,2.2857,1.8,0.6667,0.35833352761592024
Mac,wifi,US,1.7143,0.6,0.6667,0.44991951080432196
Mac,wifi,US,1.7143,0.6,0.6667,0.4615257318727254
Mac,wifi,US,2.2857,1.8,0.6667,0.3458386309256439
Mac,wifi,US,4.0,0.6,0.0,0.9792401595409174
Mac,wifi,US,3.4286,1.2,0.6667,0.41751419381149124
Mac,wifi,US,0.5714,3.0,0.6667,0.4171488794158776
Mac,wifi,US,1.7143,1.8,1.3333,0.5105904266130804
Mac,wifi,US,1.7143,0.6,0.6667,0.4513230034880362
Mac,wifi,US,4.0,1.2,1.3333,0.6645738058885473
Mac,wifi,US,2.2857,2.4,1.3333,0.4275897279086303
Mac,wifi,US,2.8571,0.6,0.6667,0.4488162406448918
Mac,wifi,US,0.5714,0.6,1.3333,0.6196252248649309
Mac,wifi,US,1.1429,0.0,0.0,0.9604827156563294
Mac,wifi,US,1.1429,0.0,1.3333,0.6872612634729723
Mac,wifi,US,0.0,2.4,2.0,0.2425852107718014
Mac,wifi,US,1.1429,1.2,1.3333,0.6014872791981356
Mac,wifi,US,2.8571,0.0,2.0,0.9202346709406997
Mac,wifi,US,2.2857,0.0,2.0,0.9134581079617795
Mac,wifi,US,1.1429,1.8,2.0,0.6415973082025813
Mac,wifi,US,1.7143,0.0,0.6667,0.45720054428392237
Mac,wifi,US,4.0,2.4,1.3333,0.4245472402363249
Mac,wifi,US,4.0,0.6,0.6667,0.45803965087200266
Mac,wifi,US,2.8571,0.0,1.3333,0.7277167844185821
Mac,wifi,US,0.0,0.0,0.6667,0.20731256714958293
Mac,wifi,US,2.2857,3.0,0.6667,0.4741561912531101
Mac,wifi,US,2.8571,0.0,1.3333,0.7342408654322429
Mac,wifi,US,0.5714,1.2,2.0,0.7638399729763824
Mac,wifi,US,1.7143,1.2,2.0,0.8122058059927144
Mac,wifi,US,1.1429,3.0,1.3333,0.6867784820751551
Mac,wifi,US,0.5714,2.4,1.3333,0.3479839807241263
Mac,wifi,US,1.1429,1.8,0.0,0.7185455401379626
Mac,wifi,US,0.0,1.8,0.6667,0.12745051531837445
Mac,wifi,US,0.5714,0.0,0.0,0.9006699502458378
Mac,wifi,US,3.4286,3.0,0.6667,0.45561529440121457
Mac,wifi,US,4.0,1.2,0.6667,0.4173931986152389
Mac,wifi,US,2.8571,3.0,2.0,0.9062038992153355
Mac,wifi,US,1.1429,2.4,2.0,0.4847201360917245
Mac,wifi,US,2.2857,2.4,1.3333,0.42056680246176803
Mac,wifi,US,0.0,0.6,2.0,0.5656732864861262
Mac,wifi,US,1.7143,0.6,2.0,0.8821693298765162
Mac,wifi,US,1.7143,1.2,1.3333,0.6300139578424326
Mac,wifi,US,2.2857,0.6,0.6667,0.43314779615525334
Mac,wifi,US,2.8571,0.0,1.3333,0.7268036441828707
Mac,wifi,US,2.8571,2.4,1.3333,0.41881013894663904
Mac,wifi,US,2.2857,1.8,0.6667,0.350423569873359
Mac,wifi,US,3.4286,1.2,1.3333,0.6582140166398619
Mac,wifi,US,0.5714,1.2,0.6667,0.35663848065310616
Mac,wifi,US,3.4286,1.8,0.6667,0.34444688759382197
Mac,wifi,US,2.2857,1.2,2.0,0.8052094536467835
Mac,wifi,US,0.0,1.8,2.0,0.38257183332546507
Mac,wifi,US,0.5714,1.8,1.3333,0.49280021294490417
Mac,wifi,US,1.1429,2.4,2.0,0.50765586464953
Mac,wifi,US,2.8571,0.0,0.6667,0.46613658600386254
Mac,wifi,US,0.5714,1.2,0.0,0.8245472009592436
Mac,wifi,US,4.0,1.8,0.6667,0.3694819719221067
Mac,wifi,US,2.8571,0.6,2.0,0.8813235769376347
Mac,wifi,US,2.8571,1.8,2.0,0.7056118879071824
Mac,wifi,US,1.7143,2.4,0.0,0.5761427815904558
